group,name,stratum,solver,nrows,nnz,spd,psym,graphlike
ATandT,onetone2,nonsym,bicgstab,36057,222596,0,0.1128682425939654,0
ATandT,onetone1,nonsym,bicgstab,36057,335552,0,0.0742956282869174,0
ATandT,twotone,nonsym,bicgstab,120750,1206265,0,0.2445668624008717,0
Averous,epb1,nonsym,bicgstab,14734,95053,0,0.7293915511896314,0
Averous,epb2,nonsym,bicgstab,25228,175027,0,0.6705385216189694,0
Averous,epb3,nonsym,bicgstab,84617,463625,0,0.6674107142857143,0
Bindel,ted_A_unscaled,nonsym,bicgstab,10605,424587,0,0.5657922767749357,0
Bindel,ted_A,nonsym,bicgstab,10605,424587,0,0.5657922767749357,0
Bindel,ted_B_unscaled,spd,cg,10605,144579,1,1.0,0
Bindel,ted_B,spd,cg,10605,144579,1,1.0,0
Boeing,msc10848,spd,cg,10848,1229776,1,1.0,0
Boeing,crystk03,nonsym,bicgstab,24696,1751178,0,1.0,0
Boeing,ct20stif,spd,cg,52329,2600295,1,1.0,0
Botonakis,FEM_3D_thermal1,nonsym,bicgstab,17880,430740,0,1.0,0
Botonakis,thermomech_TK,spd,cg,102158,711558,1,1.0,0
Botonakis,FEM_3D_thermal2,nonsym,bicgstab,147900,3489300,0,1.0,0
Botonakis,thermomech_dK,nonsym,bicgstab,204316,2846228,0,1.0,0
CPM,cz10228,nonsym,bicgstab,10228,102876,0,0.4358431914342458,0
CPM,cz20468,nonsym,bicgstab,20468,206076,0,0.4354769190983147,0
CPM,cz40948,nonsym,bicgstab,40948,412148,0,0.4349030172413793,0
Cunningham,k3plates,nonsym,bicgstab,11107,378927,0,1.0,0
Cunningham,qa8fk,nonsym,bicgstab,66127,1660579,0,1.0,0
Cunningham,qa8fm,spd,cg,66127,1660579,1,1.0,0
DNVS,thread,spd,cg,29736,4444880,1,1.0,0
DNVS,shipsec8,spd,cg,114919,3303553,1,1.0,0
DNVS,ship_003,spd,cg,121728,3777036,1,1.0,0
DNVS,shipsec5,spd,cg,179860,4598604,1,1.0,0
FEMLAB,sme3Da,nonsym,bicgstab,12504,874887,0,0.9999710105602732,0
FEMLAB,ns3Da,nonsym,bicgstab,20414,1679599,0,0.9999825339398674,0
FEMLAB,sme3Db,nonsym,bicgstab,29067,2081063,0,0.999978557463075,0
FEMLAB,poisson3Db,nonsym,bicgstab,85623,2374949,0,1.0,0
FIDAP,ex19,nonsym,bicgstab,12005,259577,0,1.0,0
FIDAP,ex11,nonsym,bicgstab,16614,1096948,0,1.0,0
FIDAP,ex35,nonsym,bicgstab,19716,227872,0,1.0,0
FlowIPM22,uni_chimera_i4,nonsym,bicgstab,100000,814436,0,1.0,0
FlowIPM22,uni_chimera_i1,spd,cg,100000,1100592,1,1.0,0
FlowIPM22,uni_chimera_i3,nonsym,bicgstab,100000,499696,0,1.0,0
FlowIPM22,Spielman_k100,spd,cg,338402,1025404,1,1.0,0
GHS_indef,bloweybq,spd,cg,10001,49999,1,1.0,0
GHS_indef,dawson5,nonsym,bicgstab,51537,1010777,0,1.0,0
GHS_indef,boyd2,nonsym,bicgstab,466316,1500397,0,1.0,0
GHS_psdef,wathen100,spd,cg,30401,471601,1,1.0,0
GHS_psdef,vanbody,spd,cg,47072,2329056,1,1.0,0
GHS_psdef,s3dkt3m2,spd,cg,90449,3686223,1,1.0,0
Gaertner,nopoly,nonsym,bicgstab,10774,70842,0,1.0,0
Gaertner,pesa,nonsym,bicgstab,11738,79566,0,1.0,0
Gaertner,big,nonsym,bicgstab,13209,91465,0,1.0,0
Goodwin,Goodwin_030,nonsym,bicgstab,10142,312814,0,0.966280360610536,0
Goodwin,rim,nonsym,bicgstab,22560,1014951,0,0.6390640220938991,0
Goodwin,Goodwin_054,nonsym,bicgstab,32510,1030878,0,0.9804679703906704,0
Goodwin,Goodwin_095,nonsym,bicgstab,100037,3226066,0,0.9880933163299772,0
Grund,bayer10,nonsym,bicgstab,13436,71594,0,0.002528365095919851,0
Grund,bayer02,nonsym,bicgstab,13935,63307,0,0.001884570082449941,0
Grund,bayer04,nonsym,bicgstab,20545,85537,0,0.001584088708967702,0
Grund,bayer01,nonsym,bicgstab,57735,275094,0,0.0002304047924196823,0
HB,bcsstk17,spd,cg,10974,428650,1,1.0,0
HB,bcsstk18,spd,cg,11948,149090,1,1.0,0
HB,bcsstk25,spd,cg,15439,252241,1,1.0,0
Hamm,memplus,nonsym,bicgstab,17758,99147,0,1.0,0
Hamm,bcircuit,nonsym,bicgstab,68902,375558,0,1.0,0
Hamm,hcircuit,nonsym,bicgstab,105676,513072,0,0.9999410961997232,0
Hamm,scircuit,nonsym,bicgstab,170998,958936,0,0.9999467019956295,0
Hohn,fd15,nonsym,bicgstab,11532,44206,0,0.0,0
Hohn,sinc15,nonsym,bicgstab,11532,551184,0,0.01378652867239141,0
Hohn,fd18,nonsym,bicgstab,16428,63406,0,3.154275620603729e-05,0
Hohn,sinc18,nonsym,bicgstab,16428,948696,0,0.01157085557378834,0
Hollinger,g7jac040,nonsym,bicgstab,11790,107383,0,0.04830823961664447,0
Hollinger,jan99jac100sc,nonsym,bicgstab,34454,190224,0,0.003307461633445052,0
Hollinger,mark3jac140sc,nonsym,bicgstab,64089,376395,0,0.07395887333678935,0
IBM_EDA,ckt11752_dc_1,nonsym,bicgstab,49702,333029,0,0.9838102263462359,0
IBM_EDA,dc2,nonsym,bicgstab,116835,766396,0,0.8542477149952045,0
IBM_EDA,trans5,nonsym,bicgstab,116835,749800,0,0.8542477149952045,0
IPSO,OPF_3754,nonsym,bicgstab,15435,141478,0,1.0,0
IPSO,OPF_6000,nonsym,bicgstab,29902,274697,0,1.0,0
IPSO,OPF_10000,nonsym,bicgstab,43887,426898,0,1.0,0
IPSO,HTC_336_9129,nonsym,bicgstab,226340,762969,0,1.0,0
IPSO,HTC_336_4438,nonsym,bicgstab,226340,783496,0,1.0,0
JGD_Homology,ch7-8-b5,nonsym,bicgstab,141120,846720,0,0.0003732057190233348,0
JGD_Homology,m133-b3,nonsym,bicgstab,200200,800800,0,4.495504495504496e-05,0
JGD_Homology,shar_te2-b3,nonsym,bicgstab,200200,800800,0,7.492516848797264e-05,0
ML_Graph,Fashion_MNIST_norm_10NN,nonsym,bicgstab,10000,158304,0,1.0,0
ML_Graph,har_10NN,nonsym,bicgstab,10299,151736,0,1.0,0
