group,name,stratum,solver,nrows,nnz,spd,psym,graphlike
ATandT,onetone1,nonsym,bicgstab,36057,335552,0,0.0742956282869174,0
ATandT,onetone2,nonsym,bicgstab,36057,222596,0,0.1128682425939654,0
ATandT,twotone,nonsym,bicgstab,120750,1206265,0,0.2445668624008717,0
ATandT,pre2,nonsym,bicgstab,659033,5834044,0,0.3317760910564062,0
Averous,epb1,nonsym,bicgstab,14734,95053,0,0.7293915511896314,0
Averous,epb2,nonsym,bicgstab,25228,175027,0,0.6705385216189694,0
Averous,epb3,nonsym,bicgstab,84617,463625,0,0.6674107142857143,0
Bindel,ted_B,spd,cg,10605,144579,1,1.0,0
Bindel,ted_A_unscaled,nonsym,bicgstab,10605,424587,0,0.5657922767749357,0
Bindel,ted_B_unscaled,spd,cg,10605,144579,1,1.0,0
Bindel,ted_A,nonsym,bicgstab,10605,424587,0,0.5657922767749357,0
Bodendiek,CurlCurl_0,nonsym,bicgstab,11083,113343,0,1.0,0
Bodendiek,CurlCurl_1,nonsym,bicgstab,226451,2472071,0,1.0,0
Bodendiek,CurlCurl_2,nonsym,bicgstab,806529,8921789,0,1.0,0
Boeing,msc10848,spd,cg,10848,1229776,1,1.0,0
Boeing,crystm02,spd,cg,13965,322905,1,1.0,0
Boeing,bcsstm36,nonsym,bicgstab,23052,320606,0,1.0,0
Boeing,bcsstk36,spd,cg,23052,1143140,1,1.0,0
Boeing,crystk03,nonsym,bicgstab,24696,1751178,0,1.0,0
Boeing,crystm03,spd,cg,24696,583770,1,1.0,0
Boeing,bcsstk37,nonsym,bicgstab,25503,1140977,0,1.0,0
Boeing,bcsstk35,nonsym,bicgstab,30237,1450163,0,1.0,0
Boeing,ct20stif,spd,cg,52329,2600295,1,1.0,0
Botonakis,FEM_3D_thermal1,nonsym,bicgstab,17880,430740,0,1.0,0
Botonakis,thermomech_TK,spd,cg,102158,711558,1,1.0,0
Botonakis,thermomech_TC,spd,cg,102158,711558,1,1.0,0
Botonakis,FEM_3D_thermal2,nonsym,bicgstab,147900,3489300,0,1.0,0
Botonakis,thermomech_dK,nonsym,bicgstab,204316,2846228,0,1.0,0
Botonakis,thermomech_dM,spd,cg,204316,1423116,1,1.0,0
CEMW,tmt_sym,spd,cg,726713,5080961,1,1.0,0
CEMW,tmt_unsym,nonsym,bicgstab,917825,4584801,0,1.0,0
CEMW,t2em,nonsym,bicgstab,921632,4590832,0,0.9988182710127548,0
CPM,cz10228,nonsym,bicgstab,10228,102876,0,0.4358431914342458,0
CPM,cz20468,nonsym,bicgstab,20468,206076,0,0.4354769190983147,0
CPM,cz40948,nonsym,bicgstab,40948,412148,0,0.4349030172413793,0
Cunningham,k3plates,nonsym,bicgstab,11107,378927,0,1.0,0
Cunningham,qa8fm,spd,cg,66127,1660579,1,1.0,0
Cunningham,qa8fk,nonsym,bicgstab,66127,1660579,0,1.0,0
DNVS,thread,spd,cg,29736,4444880,1,1.0,0
DNVS,ship_001,spd,cg,34920,3896496,1,1.0,0
DNVS,m_t1,spd,cg,97578,9753570,1,1.0,0
DNVS,x104,spd,cg,108384,8713602,1,1.0,0
DNVS,shipsec8,spd,cg,114919,3303553,1,1.0,0
DNVS,ship_003,spd,cg,121728,3777036,1,1.0,0
DNVS,shipsec1,spd,cg,140874,3568176,1,1.0,0
DNVS,shipsec5,spd,cg,179860,4598604,1,1.0,0
FEMLAB,sme3Da,nonsym,bicgstab,12504,874887,0,0.9999710105602732,0
FEMLAB,poisson3Da,nonsym,bicgstab,13514,352762,0,1.0,0
FEMLAB,ns3Da,nonsym,bicgstab,20414,1679599,0,0.9999825339398674,0
FEMLAB,sme3Db,nonsym,bicgstab,29067,2081063,0,0.999978557463075,0
FEMLAB,sme3Dc,nonsym,bicgstab,42930,3148656,0,0.9999793929020139,0
FEMLAB,poisson3Db,nonsym,bicgstab,85623,2374949,0,1.0,0
FIDAP,ex19,nonsym,bicgstab,12005,259577,0,1.0,0
FIDAP,ex11,nonsym,bicgstab,16614,1096948,0,1.0,0
FIDAP,ex35,nonsym,bicgstab,19716,227872,0,1.0,0
FlowIPM22,uni_chimera_i4,nonsym,bicgstab,100000,814436,0,1.0,0
FlowIPM22,uni_chimera_i3,nonsym,bicgstab,100000,499696,0,1.0,0
FlowIPM22,uni_chimera_i1,spd,cg,100000,1100592,1,1.0,0
FlowIPM22,uni_chimera_i2,spd,cg,100000,797974,1,1.0,0
FlowIPM22,uni_chimera_i5,spd,cg,100000,499982,1,1.0,0
FlowIPM22,Spielman_k100,spd,cg,338402,1025404,1,1.0,0
GHS_indef,bloweybq,spd,cg,10001,49999,1,1.0,0
GHS_indef,bloweybl,nonsym,bicgstab,30003,109999,0,1.0,0
GHS_indef,aug3dcqp,nonsym,bicgstab,35543,128115,0,1.0,0
GHS_indef,dawson5,nonsym,bicgstab,51537,1010777,0,1.0,0
GHS_indef,k1_san,nonsym,bicgstab,67759,559774,0,1.0,0
GHS_indef,a0nsdsil,nonsym,bicgstab,80016,355034,0,1.0,0
GHS_indef,boyd2,nonsym,bicgstab,466316,1500397,0,1.0,0
GHS_psdef,wathen100,spd,cg,30401,471601,1,1.0,0
GHS_psdef,torsion1,spd,cg,40000,197608,1,1.0,0
GHS_psdef,obstclae,spd,cg,40000,197608,1,1.0,0
GHS_psdef,minsurfo,spd,cg,40806,203622,1,1.0,0
GHS_psdef,vanbody,spd,cg,47072,2329056,1,1.0,0
GHS_psdef,cvxbqp1,spd,cg,50000,349968,1,1.0,0
GHS_psdef,oilpan,spd,cg,73752,2148558,1,1.0,0
GHS_psdef,apache1,spd,cg,80800,542184,1,1.0,0
GHS_psdef,s3dkt3m2,spd,cg,90449,3686223,1,1.0,0
GHS_psdef,s3dkq4m2,spd,cg,90449,4427725,1,1.0,0
GHS_psdef,apache2,spd,cg,715176,4817870,1,1.0,0
Gaertner,nopoly,nonsym,bicgstab,10774,70842,0,1.0,0
Gaertner,pesa,nonsym,bicgstab,11738,79566,0,1.0,0
Gaertner,big,nonsym,bicgstab,13209,91465,0,1.0,0
Goodwin,Goodwin_030,nonsym,bicgstab,10142,312814,0,0.966280360610536,0
Goodwin,Goodwin_040,nonsym,bicgstab,17922,561677,0,0.9746314856878265,0
Goodwin,rim,nonsym,bicgstab,22560,1014951,0,0.6390640220938991,0
Goodwin,Goodwin_054,nonsym,bicgstab,32510,1030878,0,0.9804679703906704,0
Goodwin,Goodwin_071,nonsym,bicgstab,56021,1797934,0,0.9849308636424431,0
Goodwin,Goodwin_095,nonsym,bicgstab,100037,3226066,0,0.9880933163299772,0
Goodwin,Goodwin_127,nonsym,bicgstab,178437,5778545,0,0.9902002197399873,0
Grund,bayer10,nonsym,bicgstab,13436,71594,0,0.002528365095919851,0
Grund,bayer02,nonsym,bicgstab,13935,63307,0,0.001884570082449941,0
Grund,bayer04,nonsym,bicgstab,20545,85537,0,0.001584088708967702,0
Grund,bayer01,nonsym,bicgstab,57735,275094,0,0.0002304047924196823,0
Guettel,TEM27623,nonsym,bicgstab,27623,439469,0,1.0,0
Guettel,TEM152078,nonsym,bicgstab,152078,6459326,0,1.0,0
Guettel,TEM181302,nonsym,bicgstab,181302,7839010,0,1.0,0
HB,bcsstk17,spd,cg,10974,428650,1,1.0,0
HB,bcsstk18,spd,cg,11948,149090,1,1.0,0
HB,bcsstk25,spd,cg,15439,252241,1,1.0,0
Hamm,memplus,nonsym,bicgstab,17758,99147,0,1.0,0
Hamm,bcircuit,nonsym,bicgstab,68902,375558,0,1.0,0
Hamm,hcircuit,nonsym,bicgstab,105676,513072,0,0.9999410961997232,0
Hamm,scircuit,nonsym,bicgstab,170998,958936,0,0.9999467019956295,0
Hohn,fd15,nonsym,bicgstab,11532,44206,0,0.0,0
Hohn,sinc15,nonsym,bicgstab,11532,551184,0,0.01378652867239141,0
Hohn,sinc18,nonsym,bicgstab,16428,948696,0,0.01157085557378834,0
Hohn,fd18,nonsym,bicgstab,16428,63406,0,3.154275620603729e-05,0
Hollinger,g7jac040,nonsym,bicgstab,11790,107383,0,0.04830823961664447,0
Hollinger,jan99jac060sc,nonsym,bicgstab,20614,111903,0,0.003378124765408002,0
Hollinger,mark3jac060,nonsym,bicgstab,27449,160723,0,0.07388687991287715,0
Hollinger,jan99jac100sc,nonsym,bicgstab,34454,190224,0,0.003307461633445052,0
Hollinger,g7jac140,nonsym,bicgstab,41490,488633,0,0.03350074170680273,0
Hollinger,mark3jac100sc,nonsym,bicgstab,45769,268563,0,0.07393733869014309,0
Hollinger,mark3jac140sc,nonsym,bicgstab,64089,376395,0,0.07395887333678935,0
IBM_EDA,ckt11752_dc_1,nonsym,bicgstab,49702,333029,0,0.9838102263462359,0
IBM_EDA,ckt11752_tr_0,nonsym,bicgstab,49702,332807,0,0.9838102263462359,0
IBM_EDA,dc2,nonsym,bicgstab,116835,766396,0,0.8542477149952045,0
