group,name,stratum,solver,nrows,nnz,spd,psym,graphlike
ATandT,pre2,nonsym,bicgstab,659033,5834044,0,0.3317760910564062,0
Bodendiek,CurlCurl_0,nonsym,bicgstab,11083,113343,0,1.0,0
Bodendiek,CurlCurl_1,nonsym,bicgstab,226451,2472071,0,1.0,0
Bodendiek,CurlCurl_2,nonsym,bicgstab,806529,8921789,0,1.0,0
Boeing,crystm02,spd,cg,13965,322905,1,1.0,0
Boeing,bcsstm36,nonsym,bicgstab,23052,320606,0,1.0,0
Boeing,bcsstk36,spd,cg,23052,1143140,1,1.0,0
Boeing,crystm03,spd,cg,24696,583770,1,1.0,0
Boeing,bcsstk37,nonsym,bicgstab,25503,1140977,0,1.0,0
Boeing,bcsstk35,nonsym,bicgstab,30237,1450163,0,1.0,0
Botonakis,thermomech_TC,spd,cg,102158,711558,1,1.0,0
Botonakis,thermomech_dM,spd,cg,204316,1423116,1,1.0,0
CEMW,tmt_sym,spd,cg,726713,5080961,1,1.0,0
CEMW,tmt_unsym,nonsym,bicgstab,917825,4584801,0,1.0,0
CEMW,t2em,nonsym,bicgstab,921632,4590832,0,0.9988182710127548,0
DNVS,ship_001,spd,cg,34920,3896496,1,1.0,0
DNVS,m_t1,spd,cg,97578,9753570,1,1.0,0
DNVS,x104,spd,cg,108384,8713602,1,1.0,0
DNVS,shipsec1,spd,cg,140874,3568176,1,1.0,0
FEMLAB,poisson3Da,nonsym,bicgstab,13514,352762,0,1.0,0
FEMLAB,sme3Dc,nonsym,bicgstab,42930,3148656,0,0.9999793929020139,0
FlowIPM22,uni_chimera_i2,spd,cg,100000,797974,1,1.0,0
FlowIPM22,uni_chimera_i5,spd,cg,100000,499982,1,1.0,0
GHS_indef,bloweybl,nonsym,bicgstab,30003,109999,0,1.0,0
GHS_indef,aug3dcqp,nonsym,bicgstab,35543,128115,0,1.0,0
GHS_indef,k1_san,nonsym,bicgstab,67759,559774,0,1.0,0
GHS_indef,a0nsdsil,nonsym,bicgstab,80016,355034,0,1.0,0
GHS_psdef,torsion1,spd,cg,40000,197608,1,1.0,0
GHS_psdef,obstclae,spd,cg,40000,197608,1,1.0,0
GHS_psdef,minsurfo,spd,cg,40806,203622,1,1.0,0
GHS_psdef,cvxbqp1,spd,cg,50000,349968,1,1.0,0
GHS_psdef,oilpan,spd,cg,73752,2148558,1,1.0,0
GHS_psdef,apache1,spd,cg,80800,542184,1,1.0,0
GHS_psdef,s3dkq4m2,spd,cg,90449,4427725,1,1.0,0
GHS_psdef,apache2,spd,cg,715176,4817870,1,1.0,0
Goodwin,Goodwin_040,nonsym,bicgstab,17922,561677,0,0.9746314856878265,0
Goodwin,Goodwin_071,nonsym,bicgstab,56021,1797934,0,0.9849308636424431,0
Goodwin,Goodwin_127,nonsym,bicgstab,178437,5778545,0,0.9902002197399873,0
Guettel,TEM27623,nonsym,bicgstab,27623,439469,0,1.0,0
Guettel,TEM152078,nonsym,bicgstab,152078,6459326,0,1.0,0
Guettel,TEM181302,nonsym,bicgstab,181302,7839010,0,1.0,0
Hollinger,jan99jac060sc,nonsym,bicgstab,20614,111903,0,0.003378124765408002,0
Hollinger,mark3jac060,nonsym,bicgstab,27449,160723,0,0.07388687991287715,0
Hollinger,g7jac140,nonsym,bicgstab,41490,488633,0,0.03350074170680273,0
Hollinger,mark3jac100sc,nonsym,bicgstab,45769,268563,0,0.07393733869014309,0
IBM_EDA,ckt11752_tr_0,nonsym,bicgstab,49702,332807,0,0.9838102263462359,0
IBM_EDA,dc1,nonsym,bicgstab,116835,766396,0,0.8542477149952045,0
IBM_EDA,dc3,nonsym,bicgstab,116835,766396,0,0.8542477149952045,0
IBM_EDA,trans4,nonsym,bicgstab,116835,749800,0,0.8542477149952045,0
