group,name,stratum,nrows,nnz,spd,psym
Bindel,ted_A,nonsym,10605,424587,0,0.5657922767749357
Bomhof,circuit_3,nonsym,12127,48137,0,0.7700717835450027
Engwirda,airfoil_2d,nonsym,14214,259688,0,0.981668119637925
HVDC,hvdc1,nonsym,24842,158426,0,0.9817003233707516
LeGresley,LeGresley_87936,nonsym,87936,593276,0,0.9792020608292309
LiuWenzhuo,powersim,nonsym,15838,64424,0,0.5913695769855386
Oberwolfach,inlet,nonsym,11730,328323,0,0.6083330964361183
POLYFLOW,invextr1_new,nonsym,30412,1793881,0,0.971442083756505
PowerSystem,power197k,nonsym,197156,805839,0,0.2139400937122758
Quaglino,viscoplastic2,nonsym,32769,381326,0,0.5699899872904575
Raju,laminar_duct3D,nonsym,67173,3788857,0,0.9022908019592145
Rudnyi,water_tank,nonsym,60740,2035281,0,0.9691204183655847
Sanghavi,ecl32,nonsym,51993,380415,0,0.9219175329301935
Shyy,shyy161,nonsym,76480,329762,0,0.7263358696509635
Simon,bbmat,nonsym,38744,1771722,0,0.5295358625441292
Sorensen,Linux_call_graph,nonsym,324085,1208908,0,0.0006324084497715383
Szczerba,Ill_Stokes,nonsym,20896,191368,0,0.9897436481194791
Tromble,language,nonsym,399130,1216334,0,0.05790231080611451
Vavasis,av41092,nonsym,41092,1683902,0,0.0009359570219938022
Williams,mac_econ_fwd500,nonsym,206500,1273389,0,0.05995735832675801
ACUSIM,Pres_Poisson,spd,14822,715804,1,1.0
AMD,G2_circuit,spd,150102,726674,1,1.0
Andrews,Andrews,spd,60000,760154,1,1.0
Bindel,ted_B,spd,10605,144579,1,1.0
Castrillon,denormal,spd,89400,1156224,1,1.0
Cunningham,qa8fm,spd,66127,1660579,1,1.0
GHS_indef,bloweybq,spd,10001,49999,1,1.0
JGD_Trefethen,Trefethen_20000b,spd,19999,554435,1,1.0
Lourakis,bundle1,spd,10581,770811,1,1.0
MaxPlanck,shallow_water1,spd,81920,327680,1,1.0
Mulvey,finan512,spd,74752,596992,1,1.0
Nasa,nasasrb,spd,54870,2677324,1,1.0
Rothberg,cfd1,spd,70656,1825580,1,1.0
Schmid,thermal1,spd,82654,574458,1,1.0
Simon,olafu,spd,16146,1015156,1,1.0
TKK,cbuckle,spd,13681,676515,1,1.0
Um,2cubes_sphere,spd,101492,1647264,1,1.0
Williams,pdb1HYS,spd,36417,4344765,1,1.0
Arenas,PGPgiantcompo,sym_indef,10680,48632,0,1.0
Bova,rma10,sym_indef,46835,2329092,0,1.0
Cote,vibrobox,sym_indef,12328,301700,0,1.0
Embree,ifiss_mat,sym_indef,96307,3599932,0,1.0
Garon,garon2,sym_indef,13535,373235,0,1.0
Grueninger,windtunnel_evap3d,sym_indef,40816,803978,0,1.0
Gset,G67,sym_indef,10000,40000,0,1.0
Guettel,TEM27623,sym_indef,27623,439469,0,1.0
IBM_Austin,coupled,sym_indef,11341,97193,0,1.0
Li,li,sym_indef,22695,1215181,0,1.0
Lin,Lin,sym_indef,256000,1766400,0,1.0
Mancktelow,viscorocks,sym_indef,37762,1133641,0,1.0
