group,name,stratum,solver,mm_symmetry,nrows,nnz,spd,psym,graphlike,stratum_v2,stratum_old
Bindel,ted_A,nonsym,bicgstab,general,10605,424587,0,0.5657922767749357,0,nonsym,nonsym
Bomhof,circuit_3,nonsym,bicgstab,general,12127,48137,0,0.7700717835450027,0,nonsym,nonsym
Engwirda,airfoil_2d,nonsym,bicgstab,general,14214,259688,0,0.981668119637925,0,nonsym,nonsym
HVDC,hvdc1,nonsym,bicgstab,general,24842,158426,0,0.9817003233707516,0,nonsym,nonsym
LeGresley,LeGresley_87936,nonsym,bicgstab,general,87936,593276,0,0.9792020608292309,0,nonsym,nonsym
LiuWenzhuo,powersim,nonsym,bicgstab,general,15838,64424,0,0.5913695769855386,0,nonsym,nonsym
Oberwolfach,inlet,nonsym,bicgstab,general,11730,328323,0,0.6083330964361183,0,nonsym,nonsym
POLYFLOW,invextr1_new,nonsym,bicgstab,general,30412,1793881,0,0.971442083756505,0,nonsym,nonsym
PowerSystem,power197k,nonsym,bicgstab,general,197156,805839,0,0.2139400937122758,0,nonsym,nonsym
Quaglino,viscoplastic2,nonsym,bicgstab,general,32769,381326,0,0.5699899872904575,0,nonsym,nonsym
Raju,laminar_duct3D,nonsym,bicgstab,general,67173,3788857,0,0.9022908019592145,0,nonsym,nonsym
Rudnyi,water_tank,nonsym,bicgstab,general,60740,2035281,0,0.9691204183655847,0,nonsym,nonsym
Sanghavi,ecl32,nonsym,bicgstab,general,51993,380415,0,0.9219175329301935,0,nonsym,nonsym
Shyy,shyy161,nonsym,bicgstab,general,76480,329762,0,0.7263358696509635,0,nonsym,nonsym
Simon,bbmat,nonsym,bicgstab,general,38744,1771722,0,0.5295358625441292,0,nonsym,nonsym
Sorensen,Linux_call_graph,nonsym,bicgstab,general,324085,1208908,0,0.0006324084497715383,1,nonsym,nonsym
Szczerba,Ill_Stokes,nonsym,bicgstab,general,20896,191368,0,0.9897436481194791,0,nonsym,nonsym
Tromble,language,nonsym,bicgstab,general,399130,1216334,0,0.05790231080611451,1,nonsym,nonsym
Vavasis,av41092,nonsym,bicgstab,general,41092,1683902,0,0.0009359570219938022,0,nonsym,nonsym
Williams,mac_econ_fwd500,nonsym,bicgstab,general,206500,1273389,0,0.05995735832675801,1,nonsym,nonsym
ACUSIM,Pres_Poisson,spd,cg,symmetric,14822,715804,1,1.0,0,spd,spd
AMD,G2_circuit,spd,cg,symmetric,150102,726674,1,1.0,0,spd,spd
Andrews,Andrews,spd,cg,symmetric,60000,760154,1,1.0,0,spd,spd
Bindel,ted_B,spd,cg,symmetric,10605,144579,1,1.0,0,spd,spd
Castrillon,denormal,spd,cg,symmetric,89400,1156224,1,1.0,0,spd,spd
Cunningham,qa8fm,spd,cg,symmetric,66127,1660579,1,1.0,0,spd,spd
GHS_indef,bloweybq,spd,cg,symmetric,10001,49999,1,1.0,0,spd,spd
JGD_Trefethen,Trefethen_20000b,spd,cg,symmetric,19999,554435,1,1.0,0,spd,spd
Lourakis,bundle1,spd,cg,symmetric,10581,770811,1,1.0,0,spd,spd
MaxPlanck,shallow_water1,spd,cg,symmetric,81920,327680,1,1.0,0,spd,spd
Mulvey,finan512,spd,cg,symmetric,74752,596992,1,1.0,0,spd,spd
Nasa,nasasrb,spd,cg,symmetric,54870,2677324,1,1.0,0,spd,spd
Rothberg,cfd1,spd,cg,symmetric,70656,1825580,1,1.0,0,spd,spd
Schmid,thermal1,spd,cg,symmetric,82654,574458,1,1.0,0,spd,spd
Simon,olafu,spd,cg,symmetric,16146,1015156,1,1.0,0,spd,spd
TKK,cbuckle,spd,cg,symmetric,13681,676515,1,1.0,0,spd,spd
Um,2cubes_sphere,spd,cg,symmetric,101492,1647264,1,1.0,0,spd,spd
Williams,pdb1HYS,spd,cg,symmetric,36417,4344765,1,1.0,0,spd,spd
Arenas,PGPgiantcompo,nonsym,bicgstab,symmetric,10680,48632,0,1.0,1,sym_indef,sym_indef
Bova,rma10,nonsym,bicgstab,general,46835,2329092,0,1.0,0,nonsym,sym_indef
Cote,vibrobox,nonsym,bicgstab,symmetric,12328,301700,0,1.0,0,sym_indef,sym_indef
Embree,ifiss_mat,nonsym,bicgstab,general,96307,3599932,0,1.0,0,nonsym,sym_indef
Garon,garon2,nonsym,bicgstab,general,13535,373235,0,1.0,0,nonsym,sym_indef
Grueninger,windtunnel_evap3d,nonsym,bicgstab,general,40816,803978,0,1.0,0,nonsym,sym_indef
Gset,G67,nonsym,bicgstab,symmetric,10000,40000,0,1.0,1,sym_indef,sym_indef
Guettel,TEM27623,nonsym,bicgstab,symmetric,27623,439469,0,1.0,0,sym_indef,sym_indef
IBM_Austin,coupled,nonsym,bicgstab,general,11341,97193,0,1.0,0,nonsym,sym_indef
Li,li,nonsym,bicgstab,general,22695,1215181,0,1.0,0,nonsym,sym_indef
Lin,Lin,nonsym,bicgstab,symmetric,256000,1766400,0,1.0,0,sym_indef,sym_indef
Mancktelow,viscorocks,nonsym,bicgstab,general,37762,1133641,0,1.0,0,nonsym,sym_indef
