group,name,stratum,stratum_old,mm_symmetry,nrows,nnz,spd,psym,graphlike
Bindel,ted_A,nonsym,nonsym,general,10605,424587,0,0.5657922767749357,0
Bomhof,circuit_3,nonsym,nonsym,general,12127,48137,0,0.7700717835450027,0
Engwirda,airfoil_2d,nonsym,nonsym,general,14214,259688,0,0.981668119637925,0
HVDC,hvdc1,nonsym,nonsym,general,24842,158426,0,0.9817003233707516,0
LeGresley,LeGresley_87936,nonsym,nonsym,general,87936,593276,0,0.9792020608292309,0
LiuWenzhuo,powersim,nonsym,nonsym,general,15838,64424,0,0.5913695769855386,0
Oberwolfach,inlet,nonsym,nonsym,general,11730,328323,0,0.6083330964361183,0
POLYFLOW,invextr1_new,nonsym,nonsym,general,30412,1793881,0,0.971442083756505,0
PowerSystem,power197k,nonsym,nonsym,general,197156,805839,0,0.2139400937122758,0
Quaglino,viscoplastic2,nonsym,nonsym,general,32769,381326,0,0.5699899872904575,0
Raju,laminar_duct3D,nonsym,nonsym,general,67173,3788857,0,0.9022908019592145,0
Rudnyi,water_tank,nonsym,nonsym,general,60740,2035281,0,0.9691204183655847,0
Sanghavi,ecl32,nonsym,nonsym,general,51993,380415,0,0.9219175329301935,0
Shyy,shyy161,nonsym,nonsym,general,76480,329762,0,0.7263358696509635,0
Simon,bbmat,nonsym,nonsym,general,38744,1771722,0,0.5295358625441292,0
Sorensen,Linux_call_graph,nonsym,nonsym,general,324085,1208908,0,0.0006324084497715383,1
Szczerba,Ill_Stokes,nonsym,nonsym,general,20896,191368,0,0.9897436481194791,0
Tromble,language,nonsym,nonsym,general,399130,1216334,0,0.05790231080611451,1
Vavasis,av41092,nonsym,nonsym,general,41092,1683902,0,0.0009359570219938022,0
Williams,mac_econ_fwd500,nonsym,nonsym,general,206500,1273389,0,0.05995735832675801,1
ACUSIM,Pres_Poisson,spd,spd,symmetric,14822,715804,1,1.0,0
AMD,G2_circuit,spd,spd,symmetric,150102,726674,1,1.0,0
Andrews,Andrews,spd,spd,symmetric,60000,760154,1,1.0,0
Bindel,ted_B,spd,spd,symmetric,10605,144579,1,1.0,0
Castrillon,denormal,spd,spd,symmetric,89400,1156224,1,1.0,0
Cunningham,qa8fm,spd,spd,symmetric,66127,1660579,1,1.0,0
GHS_indef,bloweybq,spd,spd,symmetric,10001,49999,1,1.0,0
JGD_Trefethen,Trefethen_20000b,spd,spd,symmetric,19999,554435,1,1.0,0
Lourakis,bundle1,spd,spd,symmetric,10581,770811,1,1.0,0
MaxPlanck,shallow_water1,spd,spd,symmetric,81920,327680,1,1.0,0
Mulvey,finan512,spd,spd,symmetric,74752,596992,1,1.0,0
Nasa,nasasrb,spd,spd,symmetric,54870,2677324,1,1.0,0
Rothberg,cfd1,spd,spd,symmetric,70656,1825580,1,1.0,0
Schmid,thermal1,spd,spd,symmetric,82654,574458,1,1.0,0
Simon,olafu,spd,spd,symmetric,16146,1015156,1,1.0,0
TKK,cbuckle,spd,spd,symmetric,13681,676515,1,1.0,0
Um,2cubes_sphere,spd,spd,symmetric,101492,1647264,1,1.0,0
Williams,pdb1HYS,spd,spd,symmetric,36417,4344765,1,1.0,0
Arenas,PGPgiantcompo,sym_indef,sym_indef,symmetric,10680,48632,0,1.0,1
Bova,rma10,nonsym,sym_indef,general,46835,2329092,0,1.0,0
Cote,vibrobox,sym_indef,sym_indef,symmetric,12328,301700,0,1.0,0
Embree,ifiss_mat,nonsym,sym_indef,general,96307,3599932,0,1.0,0
Garon,garon2,nonsym,sym_indef,general,13535,373235,0,1.0,0
Grueninger,windtunnel_evap3d,nonsym,sym_indef,general,40816,803978,0,1.0,0
Gset,G67,sym_indef,sym_indef,symmetric,10000,40000,0,1.0,1
Guettel,TEM27623,sym_indef,sym_indef,symmetric,27623,439469,0,1.0,0
IBM_Austin,coupled,nonsym,sym_indef,general,11341,97193,0,1.0,0
Li,li,nonsym,sym_indef,general,22695,1215181,0,1.0,0
Lin,Lin,sym_indef,sym_indef,symmetric,256000,1766400,0,1.0,0
Mancktelow,viscorocks,nonsym,sym_indef,general,37762,1133641,0,1.0,0
